Timestamp,RequestName,Total,OK,KO,KO_Percent,Reqs_Per_Sec,Min,p50,p75,p95,p99,Max,Mean,StdDev
2026-03-26T05:48:48.876916655,"Login",14481,14481,-,0,1.27,6,229,573,1516,2282,7012,423,526
2026-03-26T05:48:48.876916655,"Get locations",16324,16324,-,0,1.44,30,584,935,1720,2760,7268,700,561
2026-03-26T05:48:48.876916655,"Select Location",14481,14481,-,0,1.27,3,151,451,1243,3090,5396,334,470
2026-03-26T05:48:48.876916655,"Get Address Template",18041,18041,-,0,1.59,2,46,165,634,2115,4034,147,264
2026-03-26T05:48:48.876916655,"Get Relationship Types",18041,18041,-,0,1.59,5,121,295,926,3298,5911,245,342
2026-03-26T05:48:48.876916655,"Get Appointments for Specific Date",14481,14481,-,0,1.27,2,51,193,812,2884,3962,157,266
2026-03-26T05:48:48.876916655,"Get Module Information",19645,19645,-,0,1.73,2,54,176,755,2673,4908,153,272
2026-03-26T05:48:48.876916655,"Get Patient Identifier Types",18041,18041,-,0,1.59,5,128,313,926,3464,6673,258,356
2026-03-26T05:48:48.876916655,"Get Primary Identifier Term Mapping",31151,31151,-,0,2.74,4,142,364,1098,2054,6354,295,411
2026-03-26T05:48:48.876916655,"Get Identifier Source",32522,32522,-,0,2.86,4,151,391,1147,2202,6060,306,418
2026-03-26T05:48:48.876916655,"Get Locations by Tag and Query",19840,19840,-,0,1.74,5,202,497,1256,2399,6402,368,468
2026-03-26T05:48:48.876916655,"Get Visits",15067,15067,-,0,1.32,10,3210,6707,11047,14478,20294,4122,3698
2026-03-26T05:48:48.876916655,"Get Auto Generation Options",18041,18041,-,0,1.59,9,362,885,2238,2828,8075,614,716
2026-03-26T05:48:48.876916655,"Get Queue Entry",17287,17287,-,0,1.52,7,344,1298,5130,9076,18428,1118,1866
2026-03-26T05:48:48.876916655,"Get Visit Types",6963,6963,-,0,0.61,4,98,265,884,1466,4196,219,325
2026-03-26T05:48:48.876916655,"Get Current Visit of Patient",13058,13058,-,0,1.15,6,5715,13877,28425,39845,83376,9152,9482
2026-03-26T05:48:48.876916655,"Get Visits of Patient",13956,13956,-,0,1.23,6,2850,5123,8725,11411,19323,3378,2806
2026-03-26T05:48:48.876916655,"Get Program Enrollments of Patient",9071,9071,-,0,0.8,5,387,793,1670,3604,6006,552,576
2026-03-26T05:48:48.876916655,"Get Patient Summary Data",15259,15259,-,0,1.34,6,180,368,941,1869,4865,292,352
2026-03-26T05:48:48.876916655,"Get Visit Queue Entry",13927,13927,-,0,1.22,8,236,545,1273,3275,4989,388,451
2026-03-26T05:48:48.876916655,"Get Appointments of a Patient",7275,7275,-,0,0.64,2,60,208,775,1627,4381,182,307
2026-03-26T05:48:48.876916655,"Get Active Visits of Patient",133119,133119,-,0,11.7,4,125,413,1248,4634,7853,288,417
2026-03-26T05:48:48.876916655,"Get isVisitsEnabled",10107,10107,-,0,0.89,3,107,319,1022,2561,5360,262,392
2026-03-26T05:48:48.876916655,"Get the status of patient death",124243,124243,-,0,10.92,3,90,248,980,4055,5525,203,313
2026-03-26T05:48:48.876916655,"Get all the constraints on the vital concepts",10107,10107,-,0,0.89,5,177,412,1236,1807,4595,312,394
2026-03-26T05:48:48.876916655,"Get Patient Observations",30851,30851,-,0,2.71,1,1004,4063,11835,17015,28350,2837,4013
2026-03-26T05:48:48.876916655,"Get Patient Conditions",11617,11617,-,0,1.02,2,849,3559,13685,22103,43604,2964,4899
2026-03-26T05:48:48.876916655,"Get Active Orders",9821,9821,-,0,0.86,7,790,2247,5335,10035,16659,1510,1817
